twitter_user_id,friend_degree_avg,friend_degree_max,friend_degree_min,friend_degree_var,follower_degree_avg,follower_degree_max,follower_degree_min,follower_degree_var
578710768,1684.223058,65961,6,16604122.22,3014.085213,278508,1,293452456
3147650973,11562.55263,1285455,10,7923167007,15822.56579,2037292,0,18991760967
163175714,2931.694199,438437,1,338470398.4,5482.289086,796313,0,1417799303
221430116,1483.233516,21485,2,6245478.778,3196.81044,278508,0,351218427.6
73379912,3290.520061,1285455,5,754737846.7,5350.369889,2037293,0,2299780160
436576452,3681.35257,1743386,1,1676341989,7786.053831,4953446,0,9307857271
221693300,5297.354472,1285450,5,3195973233,7111.252033,2037300,1,7379499287
3088494153,16102.1,1285450,11,13513528026,24329.41538,2037300,27,33089958295
3124878287,12037.6087,432664,38,3952655591,12269.71739,420640,15,3746965167
152758079,1230.333333,5195,55,1885414.889,3308.75,36117,10,97909638.69
78604926,3899.228788,1285448,1,1432553328,15600.97803,4953497,0,28104353471
8.55111E+17,2498.521008,96328,6,47801869.15,4144.369748,105886,1,130456116
31756041,1753.759171,1743393,1,268882451.3,3239.335297,4350743,0,2429679013
408454349,1520.680207,1224362,1,130792126.3,2617.572505,11589968,0,3464385770
2975603489,9627.235969,1285390,4,3729846714,12890.3648,2037271,0,9131422945
20181974,6021.652268,1285390,5,3788074808,36703.46868,12782256,0,3.61059E+11
240030844,2803.185241,431790,8,319450360,4139.911145,998530,0,1668918730
368452871,33102.93532,1285390,4,10098324448,46096.8383,2037271,0,21439547209
8.59433E+17,1357.247039,38529,5,7031358.257,2798.492386,201485,0,170416802.6
949396808,21446.04164,1650328,4,12669232692,31227.97432,3000953,0,28544126357
28543847,1880.158194,1504206,1,277602842.2,4329.741734,4955024,0,3610989361
15726425,3166.797934,1751000,1,1328892630,20797.47519,93148785,0,1.36E+12
34374472,1915.694065,1857634,1,258837682,3232.22948,4955626,0,2237567088
541791988,5901.321476,1285737,2,2733686955,13108.43347,2321980,0,15618089479
1342967244,7438.927553,1385082,2,2855485327,10689.14169,2037222,0,6432941756
16394067,5033.59755,789322,2,1422731107,10217.7629,2082746,0,8747548339
2826910860,2268.561983,56585,2,33237908.61,4804.694215,286249,1,741103324.1
8.5879E+17,3891.263158,145691,12,233862568.3,3753.410526,177210,1,342889931.5
2717669531,3500.196078,56585,83,70960189.65,9250.254902,286253,18,1685093367
105800463,1676.8341,1751015,1,200765671.3,2938.752493,11611652,0,3748881337
143779403,1157.741457,1505810,0,71471579.13,1881.456939,8115466,0,1815594930
458314051,5103.551843,1285722,7,2436595661,8103.985023,2037240,0,5925182013
207697553,4013.201693,1851132,0,1269951071,6757.906125,2692567,0,4467410855
38880112,3097.924456,1453712,1,1407659363,6639.384123,2327772,0,5785673366
389434876,1719.354172,867831,1,151966304.5,3148.949286,4958712,0,2003432518
2260576352,31996.85202,1880184,2,14454958947,42997.42422,3237127,0,30256913802
989608254,5377.298246,1287213,4,2596270569,9402.434548,2037327,0,7745545377
5733842,3501.552828,1287213,2,1937216566,5631.914621,2037327,0,4807263984
33881503,8266.371747,1287213,19,6518276932,12770.14498,2037327,1,16396312158
311956971,2761.737113,1287213,1,1235470744,5844.686082,2037327,0,4417790336
174396155,2023.088621,867642,2,240307605.4,3968.034799,2328038,0,1738946674
2979904613,2142.953596,1287197,2,704203572.9,4398.41454,2037329,0,2366099420
76969741,6763.100559,1287197,6,1969855670,15062.84996,6223008,0,35648560323
932446861,1594.792912,1800060,0,234465207.6,4203.223173,25893255,0,14953307790
89653453,12253.02206,1287215,42,12335661295,23997.98529,2037328,5,34353498246
3046364783,16646.14451,1454108,14,12673129356,22143.6474,2037326,0,20495408555
105876726,6454.882943,1287215,2,4237173874,10134.75084,2037326,0,9922700476
216516145,2474.526364,1041278,1,773607391.1,4803.600642,1438445,0,2273753086
34244239,3056.652734,3107875,1,1900040325,7520.998568,8138031,0,15415545102
28568666,2648.524538,1041278,3,707824404.5,5693.838751,1071111,0,1534779102
486105713,3767.132193,1287208,1,1005396597,5794.496734,2037322,0,2568074631
2880093051,7128.577519,1287208,4,6432487779,11228.62403,2037322,0,16341937079
1731554581,2486.115058,1041282,1,537027584.2,4914.978797,2328187,0,3080982473
2391791419,4107.2423,1287207,5,1779864746,6937.919918,2037323,0,5882485269
241279770,4079.326389,1543947,1,2490160746,10987.08387,8138053,0,39601555615
2317393614,4781.124895,1804947,1,2489563095,9479.984633,4353381,0,11630363647
114521927,1384.11236,12923,2,4518274.212,32096.21348,2083426,5,49246681783
846658374,1223.741379,13800,1,5525675.019,2558.982759,36106,2,50956738.98
20995648,1749.888968,1804952,1,242526180.9,3569.172322,6018670,0,3355599660
277712488,4289.470046,685157,4,1232320830,17736.92396,5964915,0,82108819810
121070777,1640.977612,67943,4,35236217.93,2102.08209,71240,0,58041965.76
2818248860,6202.921053,1287196,5,5439532086,8857.236842,2037319,0,13633045593
24246234,2081.540214,290722,1,133906806.5,2751.89395,346217,0,316614330.5
495068194,2538.506849,1287196,1,1423132503,4499.103596,2037320,0,3682212780
